ontology_class,ontology_property,property_type,logical_element,physical_table,physical_column,xsd_type,required,sensitivity_tier,semantic_notes,cq_coverage
AgentRoles,(class),OWL Class,agent_roles,agent_roles,(table),,Y,Internal,,
AgentRoles,hasValidFrom,Data Property,agent_roles.valid_from,agent_roles,valid_from,xsd:string,N,Internal,,
AgentRoles,hasValidUntil,Data Property,agent_roles.valid_until,agent_roles,valid_until,xsd:string,N,Internal,,
AgentRoles,agent,Object Property,agent_roles.agent_id → agents,agent_roles,agent_id,→ Agent,Y,Internal,FK to agents; range class: Agent,
AgentRoles,role,Object Property,agent_roles.role_id → roles,agent_roles,role_id,→ Role,Y,Internal,FK to roles; range class: Role,
AgentRoles,scopeAsset,Object Property,agent_roles.scope_asset_id → assets,agent_roles,scope_asset_id,→ Asset,N,Internal,FK to assets; range class: Asset,
Agent,(class),OWL Class,agents,agents,(table),,Y,Internal,"A human, system, AI agent, or sensor that produces or acts on domain facts.","CQ-004, CQ-005"
Agent,hasAgentIri,Data Property,agents.agent_iri,agents,agent_iri,xsd:anyURI,N,Internal,Persistent IRI for use in PROV-O provenance graphs.,CQ-004
Agent,hasName,Data Property,agents.name,agents,name,xsd:string,Y,Internal,,
Agent,hasAgentType,Data Property,agents.agent_type,agents,agent_type,xsd:string,Y,Internal,,
Agent,hasCredentialExpiry,Data Property,agents.credential_expiry,agents,credential_expiry,xsd:dateTime,N,Confidential,Expiry timestamp for AI agent credentials.,CQ-006
Agent,hasAuthorizedTiers,Data Property,agents.authorized_tiers,agents,authorized_tiers,xsd:string,N,Internal,,
Agent,hasActive,Data Property,agents.active,agents,active,xsd:boolean,N,Internal,,
Agent,hasCreatedAt,Data Property,agents.created_at,agents,created_at,xsd:dateTime,N,Internal,,
Agent,org,Object Property,agents.org_id → organizations,agents,org_id,→ Organization,N,Internal,FK to organizations; range class: Organization,
AssetType,(class),OWL Class,asset_types,asset_types,(table),,Y,Public,A classification category for managed assets.,CQ-002
AssetType,hasCode,Data Property,asset_types.code,asset_types,code,xsd:string,Y,Internal,,
AssetType,hasLabel,Data Property,asset_types.label,asset_types,label,xsd:string,Y,Internal,,
AssetType,hasDescription,Data Property,asset_types.description,asset_types,description,xsd:string,N,Internal,,
AssetType,hasUnitOfMeasure,Data Property,asset_types.unit_of_measure,asset_types,unit_of_measure,xsd:string,N,Internal,,
AssetType,hasCreatedAt,Data Property,asset_types.created_at,asset_types,created_at,xsd:dateTime,N,Internal,,
AssetType,parent,Object Property,asset_types.parent_type_id → asset_types,asset_types,parent_type_id,→ AssetType,N,Internal,FK to asset_types; range class: AssetType,
Asset,(class),OWL Class,assets,assets,(table),,Y,Internal,A physical or logical resource managed by the organization.,"CQ-001, CQ-002, CQ-003, CQ-007"
Asset,hasName,Data Property,assets.name,assets,name,xsd:string,Y,Internal,,
Asset,hasLocationCode,Data Property,assets.location_code,assets,location_code,xsd:string,N,Internal,,
Asset,hasStatus,Data Property,assets.status,assets,status,xsd:string,N,Internal,Current operational lifecycle status of the asset.,CQ-002
Asset,hasCommissionedAt,Data Property,assets.commissioned_at,assets,commissioned_at,xsd:dateTime,N,Internal,,
Asset,hasDecommissionedAt,Data Property,assets.decommissioned_at,assets,decommissioned_at,xsd:dateTime,N,Internal,,
Asset,hasCreatedAt,Data Property,assets.created_at,assets,created_at,xsd:dateTime,N,Internal,,
Asset,hasUpdatedAt,Data Property,assets.updated_at,assets,updated_at,xsd:dateTime,N,Internal,,
Asset,external,Object Property,assets.external_id → ?,assets,external_id,→ ?,N,Internal,FK to ?; range class: ?,CQ-001
Asset,asset,Object Property,assets.asset_type_id → asset_types,assets,asset_type_id,→ AssetType,Y,Internal,FK to asset_types; range class: AssetType,
Asset,owner,Object Property,assets.owner_org_id → organizations,assets,owner_org_id,→ Organization,N,Internal,FK to organizations; range class: Organization,
Asset,operator,Object Property,assets.operator_org_id → organizations,assets,operator_org_id,→ Organization,N,Internal,FK to organizations; range class: Organization,
DomainEvent,(class),OWL Class,domain_events,domain_events,(table),,Y,Internal,A significant occurrence in the domain that changes state or produces evidence.,"CQ-003, CQ-004, CQ-005, CQ-007"
DomainEvent,hasEventIri,Data Property,domain_events.event_iri,domain_events,event_iri,xsd:anyURI,N,Internal,,
DomainEvent,hasEventType,Data Property,domain_events.event_type,domain_events,event_type,xsd:string,Y,Internal,Subclass discriminator for OWL event class hierarchy.,CQ-003
DomainEvent,hasTitle,Data Property,domain_events.title,domain_events,title,xsd:string,Y,Internal,,
DomainEvent,hasDescription,Data Property,domain_events.description,domain_events,description,xsd:string,N,Internal,,
DomainEvent,hasStatus,Data Property,domain_events.status,domain_events,status,xsd:string,N,Internal,,
DomainEvent,hasOutcome,Data Property,domain_events.outcome,domain_events,outcome,xsd:string,N,Internal,,
DomainEvent,hasStartedAt,Data Property,domain_events.started_at,domain_events,started_at,xsd:dateTime,N,Internal,,
DomainEvent,hasCompletedAt,Data Property,domain_events.completed_at,domain_events,completed_at,xsd:dateTime,N,Internal,,
DomainEvent,hasCreatedAt,Data Property,domain_events.created_at,domain_events,created_at,xsd:dateTime,N,Internal,,
DomainEvent,hasUpdatedAt,Data Property,domain_events.updated_at,domain_events,updated_at,xsd:dateTime,N,Internal,,
DomainEvent,asset,Object Property,domain_events.asset_id → assets,domain_events,asset_id,→ Asset,N,Internal,FK to assets; range class: Asset,
DomainEvent,initiatedBy,Object Property,domain_events.initiated_by → agents,domain_events,initiated_by,→ Agent,N,Internal,FK to agents; range class: Agent,
DomainEvent,policy,Object Property,domain_events.policy_id → policies,domain_events,policy_id,→ Policy,N,Internal,FK to policies; range class: Policy,
EventParticipants,(class),OWL Class,event_participants,event_participants,(table),,Y,Internal,,
EventParticipants,hasParticipationRole,Data Property,event_participants.participation_role,event_participants,participation_role,xsd:string,Y,Internal,,
EventParticipants,hasJoinedAt,Data Property,event_participants.joined_at,event_participants,joined_at,xsd:dateTime,N,Internal,,
EventParticipants,event,Object Property,event_participants.event_id → domain_events,event_participants,event_id,→ DomainEvent,Y,Internal,FK to domain_events; range class: DomainEvent,
EventParticipants,agent,Object Property,event_participants.agent_id → agents,event_participants,agent_id,→ Agent,Y,Internal,FK to agents; range class: Agent,
ObservationRecord,(class),OWL Class,observations,observations,(table),,Y,Confidential,"A measured, computed, or imported fact about an asset or event, with provenance.","CQ-004, CQ-005, CQ-008"
ObservationRecord,hasObservationIri,Data Property,observations.observation_iri,observations,observation_iri,xsd:anyURI,N,Internal,,
ObservationRecord,hasObservationType,Data Property,observations.observation_type,observations,observation_type,xsd:string,Y,Internal,,
ObservationRecord,hasNumericValue,Data Property,observations.numeric_value,observations,numeric_value,xsd:decimal,N,Internal,,
ObservationRecord,hasTextValue,Data Property,observations.text_value,observations,text_value,xsd:string,N,Internal,,
